,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-01 11:20:16.900,,,,,,
2017-05-01 11:20:17.900,,,,,,
2017-05-01 11:20:18.900,,,,,,
2017-05-01 11:20:19.900,,,,,,
2017-05-01 11:20:20.900,,,,,,
2017-05-01 11:20:21.900,,,,,,
2017-05-01 11:22:02.900,,,,,,
2017-05-01 11:22:03.900,,,,,,
2017-05-01 11:22:04.900,,,,,,
2017-05-01 11:22:05.900,,,,,,
2017-05-01 11:22:06.900,,,,,,
2017-05-01 11:22:07.900,,,,,,
2017-05-01 11:22:08.900,,,,,,
2017-05-01 11:22:09.900,,,,,,
2017-05-01 11:22:10.900,,,,,,
2017-05-01 11:22:11.900,,,,,,
2017-05-01 11:22:12.900,,,,,,
2017-05-01 11:22:13.900,,,,,,
2017-05-01 11:22:14.900,,,,,,
2017-05-01 11:22:15.900,,,,,,
2017-05-01 11:22:16.900,,,,,,
2017-05-01 11:22:17.900,,,,,,
2017-05-01 11:22:18.900,,,,,,
2017-05-01 11:22:19.900,,,,,,
2017-05-01 11:22:20.900,,,,,,
2017-05-01 11:22:21.900,,,,,,
2017-05-01 11:22:22.900,,,,,,
2017-05-01 11:22:23.900,,,,,,
2017-05-01 11:22:24.900,,,,,,
2017-05-01 11:22:25.900,,,,,,
2017-05-01 11:22:26.900,,,,,,
2017-05-01 11:22:27.900,,,,,,
2017-05-01 11:22:28.900,,,,,,
2017-05-01 11:22:29.900,,,,,,
2017-05-01 11:22:30.900,,,,,,
2017-05-01 11:28:32.900,,,,,,
2017-05-01 11:28:33.900,,,,,,
2017-05-01 11:28:34.900,,,,,,
2017-05-01 11:28:35.900,,,,,,
2017-05-01 11:28:36.900,,,,,,
2017-05-01 11:28:37.900,,,,,,
2017-05-01 11:28:38.900,,,,,,
2017-05-01 11:28:39.900,,,,,,
2017-05-01 11:28:40.900,,,,,,
2017-05-01 11:28:41.900,,,,,,
2017-05-01 11:28:42.900,,,,,,
2017-05-01 11:28:43.900,,,,,,
2017-05-01 11:28:44.900,,,,,,
2017-05-01 11:28:45.900,,,,,,
2017-05-01 11:28:46.900,,,,,,
2017-05-01 11:28:47.900,,,,,,
2017-05-01 11:28:48.900,,,,,,
2017-05-01 11:28:49.900,,,,,,
2017-05-01 11:28:50.900,,,,,,
2017-05-01 11:28:51.900,,,,,,
2017-05-01 11:28:52.900,,,,,,
2017-05-01 11:28:53.900,,,,,,
2017-05-01 11:28:54.900,,,,,,
2017-05-01 11:28:55.900,,,,,,
2017-05-01 11:28:56.900,,,,,,
2017-05-01 11:28:57.900,,,,,,
2017-05-01 11:28:58.900,,,,,,
2017-05-01 11:28:59.900,,,,,,
2017-05-01 11:29:00.900,,,,,,
2017-05-01 11:29:01.900,,,,,,
2017-05-01 11:29:02.900,,,,,,
2017-05-01 11:29:03.900,,,,,,
2017-05-01 11:29:04.900,,,,,,
2017-05-01 11:29:05.900,,,,,,
2017-05-01 11:29:06.900,,,,,,
2017-05-01 11:29:07.900,,,,,,
2017-05-01 11:29:08.900,,,,,,
2017-05-01 11:29:09.900,,,,,,
2017-05-01 11:29:10.900,,,,,,
2017-05-01 11:29:11.900,,,,,,
2017-05-01 11:37:13.900,,,,,,
2017-05-01 11:37:14.900,,,,,,
2017-05-01 11:37:15.900,,,,,,
2017-05-01 11:37:16.900,,,,,,
2017-05-01 11:37:17.900,,,,,,
2017-05-01 11:37:18.900,,,,,,
2017-05-01 11:37:19.900,,,,,,
2017-05-01 11:37:20.900,,,,,,
2017-05-01 11:37:21.900,,,,,,
2017-05-01 11:37:22.900,,,,,,
2017-05-01 11:37:23.900,,,,,,
2017-05-01 11:37:24.900,,,,,,
2017-05-01 11:37:25.900,,,,,,
2017-05-01 11:37:26.900,,,,,,
2017-05-01 11:37:27.900,,,,,,
2017-05-01 11:37:28.900,,,,,,
2017-05-01 11:37:29.900,,,,,,
2017-05-01 11:37:30.900,,,,,,
2017-05-01 11:37:31.900,,,,,,
2017-05-01 11:37:32.900,,,,,,
2017-05-01 11:37:33.900,,,,,,
2017-05-01 11:37:34.900,,,,,,
2017-05-01 11:37:35.900,,,,,,
2017-05-01 11:37:36.900,,,,,,
2017-05-01 11:37:37.900,,,,,,
2017-05-01 11:37:38.900,,,,,,
2017-05-01 11:37:39.900,,,,,,
2017-05-01 11:37:40.900,,,,,,
